"","speccode","english_name","scientific_name","taxonomic_rank","P.1","P.2","P.3","lat_mean.P.1","distrib.core","scientific_name_ET","PassNonPass","IOCOrder","Taxo","english_name_ET","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","Diet.Source","Diet.Certainty","Diet.EnteredBy","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","ForStrat.Source","ForStrat.SpecLevel","ForStrat.EnteredBy","Nocturnal","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","BodyMass.Comment","Record.Comment","migrate.strategy.3","migrate.strategy.4","migrate.distance"
"1",1,"Red-throated Diver","Gavia stellata","Species",310,379,345,57.8495818187683,"north","Gavia stellata","Nonpasseriformes","Gaviiformes","BL3","Red-throated Loon",10,0,0,90,0,0,0,0,0,0,"VertFishScav","Ref_1","A","Jennifer",0,100,0,0,0,0,0,0,"Ref_1",1,"Jessica",0,1486,"Dunning08",1,"","","strict_mig","variable",2327.05949781491
"2",2,"Black-throated Diver","Gavia arctica","Species",212,199,218,57.3793224574369,"north","Gavia arctica","Nonpasseriformes","Gaviiformes","BL3","Arctic Loon",20,0,0,70,0,0,0,0,0,10,"VertFishScav","Ref_1","A","Jennifer",0,100,0,0,0,0,0,0,"Ref_1",1,"Jessica",0,2251.1,"Dunning08",1,"","","strict_mig","variable",2762.75092535912
"3",6,"Little Grebe","Tachybaptus ruficollis","Species",1366,1275,1685,53.4802697289617,"south","Tachybaptus ruficollis","Nonpasseriformes","Podicipediformes","BL3","Little Grebe",80,0,20,0,0,0,0,0,0,0,"Invertebrate","Ref_1","A","Jennifer",70,30,0,0,0,0,0,0,"Ref_1",1,"Jessica",0,169.43,"Dunning08",1,"","","partial_mig","short",2949.56632507474
"4",7,"Great Crested Grebe","Podiceps cristatus","Species",762,892,1001,53.0239393556036,"south","Podiceps cristatus","Nonpasseriformes","Podicipediformes","BL3","Great Crested Grebe",30,0,10,60,0,0,0,0,0,0,"VertFishScav","Ref_1","A","Jennifer",70,30,0,0,0,0,0,0,"Ref_1",1,"Jessica",0,730.96,"Dunning08",1,"","","partial_mig","variable",2548.1801843138
"5",12,"Fulmar","Fulmarus glacialis","Species",556,622,536,55.8534151465313,"north","Fulmarus glacialis","Nonpasseriformes","Procellariiformes","BL3","Northern Fulmar",40,0,0,60,0,0,0,0,0,0,"VertFishScav","Ref_1","A","Jennifer",20,80,0,0,0,0,0,1,"Ref_1",1,"Jessica",0,611.94,"Dunning08",1,"","","strict_mig","variable",1286.33947495694
"6",26,"Cormorant","Phalacrocorax carbo","Species",403,971,534,55.6060242707511,"north","Phalacrocorax carbo","Nonpasseriformes","Suliformes","BL3","Great Cormorant",10,0,10,80,0,0,0,0,0,0,"VertFishScav","Ref_1","A","Jennifer",100,0,0,0,0,0,0,0,"Ref_1",1,"Jessica",0,2528.97,"Dunning08",1,"","","partial_mig","variable",2166.37144732647
"7",27,"Shag","Phalacrocorax aristotelis","Species",505,548,463,56.1009095524574,"north","Phalacrocorax aristotelis","Nonpasseriformes","Suliformes","BL3","European Shag",0,0,0,100,0,0,0,0,0,0,"VertFishScav","Ref_1","A","Jennifer",100,0,0,0,0,0,0,1,"Ref_1",1,"Jessica",0,1764.34,"Dunning08",1,"","","strict_mig","short",779.315083126229
"8",39,"Grey Heron","Ardea cinerea","Species",1687,2335,1936,54.2723743021642,"north","Ardea cinerea","Nonpasseriformes","Pelecaniformes","BL3","Grey Heron",20,10,10,60,0,0,0,0,0,0,"VertFishScav","Ref_1","A","Jennifer",0,70,30,0,0,0,0,0,"Ref_1",1,"Morgane",0,1443,"Dunning08",1,"","","partial_mig","variable",3493.5353623925
"9",46,"Mute Swan","Cygnus olor","Species",1623,1579,1770,53.5140124145823,"south","Cygnus olor","Nonpasseriformes","Anseriformes","BL3","Mute Swan",10,0,10,0,0,0,0,0,0,80,"PlantSeed","Ref_1","A","Jennifer",0,100,0,0,0,0,0,0,"Ref_1",1,"Jessica",0,10682.04,"Dunning08",1,"","","partial_mig","variable",1406.13522212671
"10",53,"Greylag Goose","Anser anser","Species",200,718,1667,55.2803733919741,"north","Anser anser","Nonpasseriformes","Anseriformes","BL3","Greylag Goose",0,0,0,0,0,0,10,0,10,80,"PlantSeed","Ref_1","A","Jennifer",0,20,80,0,0,0,0,0,"Ref_1",1,"Jessica",0,3302.41,"Dunning08",1,"","","strict_mig","long",2470.91265203974
"11",55,"Canada Goose","Branta canadensis","Species",681,1196,1790,52.6409685005342,"south","Branta canadensis","Nonpasseriformes","Anseriformes","BL3","Canada Goose",0,0,0,0,0,0,10,0,0,90,"PlantSeed","Ref_1","A","Jennifer",0,40,60,0,0,0,0,0,"Ref_1",1,"Jessica",0,2811.68,"Dunning08",1,"","","partial_mig","variable",1744.14690824312
"12",61,"Shelduck","Tadorna tadorna","Species",806,959,1142,54.5261907113377,"north","Tadorna tadorna","Nonpasseriformes","Anseriformes","BL3","Common Shelduck",70,0,0,20,0,0,0,0,0,10,"Invertebrate","Ref_1","A","Jennifer",0,90,10,0,0,0,0,0,"Ref_1",1,"Other",0,1146.83,"Dunning08",1,"","","resident","resident",0
