"","scientific_name_web","speccode","english_name","scientific_name","taxonomic_rank","P.1","P.2","P.3","lat_mean.P.1","distrib.core","scientific_name_ET","PassNonPass","IOCOrder","Taxo","english_name_ET","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","Diet.Source","Diet.Certainty","Diet.EnteredBy","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","ForStrat.Source","ForStrat.SpecLevel","ForStrat.EnteredBy","Nocturnal","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","BodyMass.Comment","Record.Comment","migrate.strategy.3","migrate.strategy.4","migrate.distance","shift_max20_P.1.3","shift_min20_P.1.3","shift_all_P.1.3","shift_max20_P.1.2","shift_min20_P.1.2","shift_all_P.1.2","shift_max20_P.2.3","shift_min20_P.2.3","shift_all_P.2.3","nrecord_P.1","nrecord_P.2","nrecord_P.3","scientific_name_ET_","indegree","outdegree","normalised_indegree","diet_diversity","trophic_position","habitat_gen","pc1_env","pc2_env","pc1_lc","pc2_lc","migratory","scientific_name_","migratory_binomial","species","core_dist_bin"
"1","Accipiter_nisus",109,"Sparrowhawk","Accipiter nisus","Species",1823,2178,2342,53.7269960663955,"south","Accipiter nisus","Nonpasseriformes","Accipitriformes","BL3","Eurasian Sparrowhawk",0,100,0,0,0,0,0,0,0,0,"VertFishScav","Ref_2","A","Jennifer",0,0,20,20,20,20,20,0,"Ref_2",1,"Jessica",0,220.79,"Dunning08",1,NA,NA,"partial_mig","variable",2989.56519493249,0.379645421748634,0.0138519295319739,-0.0217208474162973,0.204942645896502,0.0119390768530323,-0.0710953647471726,0.174702775852133,0.00191285267894159,0.0493745173308753,1823,2178,2342,"Accipiter_nisus",80,3,0.283687943262411,0,12.7107562143955,1.91707578933638,-1.06962302016011,-1.4755778570067,-1.95865438243299,-1.0273037546174,"directional migratory","Accipiter_nisus",1,"Accipiter_nisus",1
"2","Acrocephalus_schoenobaenus",389,"Sedge Warbler","Acrocephalus schoenobaenus","Species",2069,1887,2138,53.7418141977484,"south","Acrocephalus schoenobaenus","Passeriformes","Passeriformes","BL3","Sedge Warbler",70,0,0,0,0,0,10,0,10,10,"Invertebrate","Ref_11","A","Jennifer",0,0,20,60,20,0,0,0,"Ref_11",1,"Jessica",0,11.83,"Dunning08",1,NA,NA,"strict_mig","long",5417.7011891341,0.518453949749599,-0.0148151136364092,0.205940691504843,0.0859574969664436,0.0322891862585948,0.120765324917386,0.432496452783155,-0.047104299895004,0.0851753665874568,2069,1887,2138,"Acrocephalus_schoenobaenus",0,10,0.48,0.940447988655326,1,1.70137900705454,0.760062196329907,-0.698098034976171,0.52728908903305,0.319720352126304,"directional migratory","Acrocephalus_schoenobaenus",1,"Acrocephalus_schoenobaenus",1
"3","Acrocephalus_scirpaceus",393,"Reed Warbler","Acrocephalus scirpaceus","Species",775,790,1087,52.1256419479026,"south","Acrocephalus scirpaceus","Passeriformes","Passeriformes","BL3","Eurasian Reed-warbler",70,0,0,0,0,0,10,0,10,10,"Invertebrate","Ref_11","A","Jennifer",0,0,20,80,0,0,0,0,"Ref_11",1,"Jessica",0,12.3,"Dunning08",1,NA,NA,"strict_mig","long",4222.12328959601,1.5192457602971,-0.172722586177777,0.206983046296038,0.89710114348096,-0.0540168357958493,0.0619289821394275,0.622144616816136,-0.118705750381928,0.145054064156611,775,790,1087,"Acrocephalus_scirpaceus",0,10,0.48,0.940447988655326,1,1.37587668055552,1.07823036640122,-0.499656047083917,1.10139538134562,-0.459933942307597,"directional migratory","Acrocephalus_scirpaceus",1,"Acrocephalus_scirpaceus",1
"4","Actitis_hypoleucos",215,"Common Sandpiper","Actitis hypoleucos","Species",1406,1424,1211,55.4837974085979,"north","Actitis hypoleucos","Nonpasseriformes","Charadriiformes","BL3","Common Sandpiper",50,0,20,20,0,0,0,0,0,10,"Omnivore","Ref_3","A","Carolina",0,50,50,0,0,0,0,0,"Ref_3",1,"Jessica",0,48,"Dunning08",1,NA,NA,"strict_mig","long",4825.59460284028,-0.0665178615157629,0.0348899551614039,0.308713627103756,0.381825721179055,-0.542664673915908,-0.0920006274219531,-0.448343582694818,0.577554629077312,0.40071425452571,1406,1424,1211,"Actitis_hypoleucos",0,21,0.66,1.22060726455302,1,1.52057752028144,-2.25085588859297,-0.640347954021996,-0.242495337959134,-1.48547822105221,"directional migratory","Actitis_hypoleucos",1,"Actitis_hypoleucos",0
"5","Aegithalos_caudatus",431,"Long-tailed Tit","Aegithalos caudatus","Species",2194,2106,2243,53.5465213256746,"south","Aegithalos caudatus","Passeriformes","Passeriformes","BL3","Long-tailed Tit",60,0,0,0,0,0,10,10,10,10,"Invertebrate","Ref_13","A","Carolina",0,0,10,40,10,40,0,0,"Ref_38",1,"Jessica",0,8.6,"Dunning08",1,NA,NA,"resident","resident",0,0.00410604602721065,-0.0220255560032712,-0.0386664122694853,-0.0671124126239064,0.0115298408130684,-0.0685908322870219,0.0712184586511171,-0.0335553968163396,0.0299244200175366,2194,2106,2243,"Aegithalos_caudatus",0,8,0.6,1.22752941145721,1,1.76076951690971,0.695744223508197,0.0120850674782013,-0.485297679468728,1.09809581522542,"directional migratory","Aegithalos_caudatus",1,"Aegithalos_caudatus",1
"6","Alauda_arvensis",319,"Skylark","Alauda arvensis","Species",2778,2729,2748,54.183434136614,"south","Alauda arvensis","Passeriformes","Passeriformes","BL3","Eurasian Skylark",40,0,0,0,0,0,0,0,40,20,"PlantSeed","Ref_9","A","Carolina",0,0,100,0,0,0,0,0,"Ref_9",1,"Jessica",0,37.31,"Dunning08",1,NA,NA,"partial_mig","variable",1902.57997359261,0.00426660433021908,0.0634372751552661,0.00665075300324958,0.00426660433021908,0.0327682597259624,0.0118203624948379,0,0.0306690154293037,-0.00516960949158829,2778,2729,2748,"Alauda_arvensis",0,29,0.64,1.05492016798614,1,1.85207399882225,-0.416084861924334,-1.65161636673276,-1.62386271565362,1.84528263714436,"directional migratory","Alauda_arvensis",1,"Alauda_arvensis",1
"7","Alca_torda",262,"Razorbill","Alca torda","Species",281,297,234,56.2272152140298,"north","Alca torda","Nonpasseriformes","Charadriiformes","BL3","Razorbill",20,0,0,80,0,0,0,0,0,0,"VertFishScav","Ref_3","A","Carolina",100,0,0,0,0,0,0,1,"Ref_3",1,"Jessica",0,725.99,"Dunning08",1,NA,NA,"strict_mig","variable",771.258160571112,-0.0399821197235752,0.185643927977267,0.161304586411845,0.0225733568422939,0.0263124637649454,0.022011311564043,-0.0625554765658691,0.159331464212322,0.139293274847802,281,297,234,"Alca_torda",0,8,0.32,0.500402423538188,1,1.95366385307809,0.178048260097647,-0.917601239933479,-0.532628453837126,0.120084096700817,"directional migratory","Alca_torda",1,"Alca_torda",0
"8","Alcedo_atthis",300,"Kingfisher","Alcedo atthis","Species",1305,1224,1334,52.523059777357,"south","Alcedo atthis","Nonpasseriformes","Coraciiformes","BL3","Common Kingfisher",30,0,0,70,0,0,0,0,0,0,"VertFishScav","Ref_6","A","Hamish",100,0,0,0,0,0,0,0,"Ref_6",1,"Christian",0,31.09,"Dunning08",1,NA,NA,"partial_mig","variable",2590.3476510634,0.853694185880244,-0.023426474017505,0.318680529745201,0.483233083588381,0.0105358033326439,0.189308631001104,0.370461102291863,-0.0339622773501489,0.129371898744097,1305,1224,1334,"Alcedo_atthis",1,1,0.00354609929078014,0.610864302054894,3,1.47222235277274,0.608574777019127,0.739624771081832,-0.00502358049593288,1.73570615680791,"directional migratory","Alcedo_atthis",1,"Alcedo_atthis",1
"9","Alectoris_rufa",130,"Red-legged Partridge","Alectoris rufa","Species",919,1214,1638,52.3891371911515,"south","Alectoris rufa","Nonpasseriformes","Galliformes","BL3","Red-legged Partridge",10,0,0,0,0,0,10,0,20,60,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,527.86,"Dunning08",1,NA,NA,"resident","resident",0,1.51119181953531,-0.470018470488327,0.905805601735068,0.875185518882759,-0.123934435377222,0.469781914836972,0.636006300652554,-0.346084035111105,0.436023686898096,919,1214,1638,"Alectoris_rufa",0,22,0.58,1.08889997534522,1,1.48317084594988,-0.805714072219548,0.911363235333365,1.38642318875871,-0.818828118099438,"resident","Alectoris_rufa",0,"Alectoris_rufa",1
"10","Anas_acuta",71,"Pintail","Anas acuta","Species",86,85,66,55.1871759555132,"north","Anas acuta","Nonpasseriformes","Anseriformes","BL3","Northern Pintail",20,0,0,0,10,0,0,0,20,50,"PlantSeed","Ref_1","A","Jennifer",0,70,30,0,0,0,0,0,"Ref_1",1,"Jessica",0,944.62,"Dunning08",1,NA,NA,"strict_mig","long",3127.76565604175,0.00671477791041752,0.216536144090846,-0.650427689795741,-0.293539324679301,-0.0694023257542398,-0.503876179905554,0.300254102589719,0.285938469845085,-0.146551509890188,86,85,66,"Anas_acuta",0,22,0.66,1.22060726455302,1,1.95232824032481,0.328470586368236,-1.20635284497789,0.274998471075021,-1.27022383399922,"directional migratory","Anas_acuta",1,"Anas_acuta",0
